LoadType,Condition,Vrms,Irms,RealPower,PF
Incandescent,Healthy,229.2,0.4247,94.15,0.967
Incandescent,Healthy,231.7,0.4248,99.83,1
Incandescent,Healthy,230.2,0.4255,95.74,0.978
Incandescent,Healthy,231,0.4254,95.91,0.976
Incandescent,Healthy,231.1,0.425,95.31,0.97
Incandescent,Healthy,230.5,0.4251,95.02,0.97
Incandescent,Healthy,229.4,0.4255,94.73,0.97
Incandescent,Healthy,230.8,0.4248,96.24,0.982
Incandescent,Healthy,230.8,0.425,96.4,0.983
Incandescent,Healthy,230.6,0.4251,95.97,0.979
Incandescent,Healthy,231.5,0.4247,96.58,0.982
Incandescent,Healthy,230.7,0.4252,96.57,0.984
Incandescent,Healthy,229.9,0.4255,96.16,0.983
Incandescent,Healthy,229.2,0.4251,94.2,0.967
Incandescent,Healthy,230.4,0.425,93.84,0.958
Incandescent,Healthy,232,0.4246,96.32,0.978
Incandescent,Healthy,230.9,0.425,97.39,0.992
Incandescent,Healthy,229.5,0.4254,95.59,0.979
Incandescent,Healthy,230.4,0.4256,94.89,0.968
Incandescent,Healthy,231.9,0.4253,96.69,0.98
Incandescent,Healthy,230.5,0.4249,96.27,0.983
Incandescent,Healthy,230,0.4248,95.14,0.974
Incandescent,Healthy,230.8,0.4255,96.71,0.985
Incandescent,Healthy,229.9,0.4248,95.27,0.976
Incandescent,Healthy,229.8,0.4248,96.42,0.988
Incandescent,Healthy,231,0.4256,96.58,0.982
Incandescent,Healthy,231.4,0.4249,95.57,0.972
Incandescent,Healthy,230.5,0.4247,96.06,0.981
Incandescent,Healthy,230.6,0.4251,95.58,0.975
Incandescent,Healthy,231.7,0.4247,96.64,0.982
Incandescent,Healthy,230.3,0.4251,96,0.981
Incandescent,Healthy,230.2,0.4248,96.4,0.986
Incandescent,Healthy,231.3,0.4252,96.48,0.981
Incandescent,Healthy,231.4,0.4248,97.11,0.988
Incandescent,Healthy,230.9,0.4255,96.59,0.983
Incandescent,Healthy,230.6,0.4249,96.34,0.983
Incandescent,Healthy,231.2,0.4248,96.66,0.984
Incandescent,Healthy,230.3,0.4254,96.59,0.986
Incandescent,Healthy,230.6,0.4247,96.6,0.986
Incandescent,Healthy,231.7,0.4253,97.64,0.991
Incandescent,Healthy,231.4,0.4248,97.11,0.988
Incandescent,Healthy,230.9,0.4255,96.59,0.983
Incandescent,Healthy,230.6,0.4249,96.34,0.983
Incandescent,Healthy,231.2,0.4248,96.66,0.984
Incandescent,Healthy,230.3,0.4254,96.59,0.986
Incandescent,Healthy,230.6,0.4247,96.6,0.986
Incandescent,Healthy,231.7,0.4253,97.64,0.991
Incandescent,Healthy,229.6,0.4248,96.36,0.988
Incandescent,Healthy,231.1,0.4253,96.58,0.983
Incandescent,Healthy,230.2,0.425,96.25,0.984
Incandescent,Healthy,231.4,0.4253,97.85,0.994
Incandescent,Healthy,231.7,0.4248,97.65,0.992
Incandescent,Healthy,229.9,0.4255,96.07,0.982
Incandescent,Healthy,231.3,0.4249,97.22,0.989
Incandescent,Healthy,231.3,0.4255,97.6,0.992
Incandescent,Healthy,230.6,0.425,96.76,0.988
Incandescent,Healthy,230.8,0.4248,96.22,0.982
Incandescent,Healthy,231.1,0.4254,98.13,0.998
Incandescent,Healthy,230,0.4252,95.89,0.98
